Individual_ID,Age,Education_Years,Work_Experience,City_Category,Remote_Work_Days,Household_Size,Savings_Rate,Annual_Income
ID-02962,32,12,14,Suburban,0,4,0.1781,71226.67
ID-02963,24,16,2,Suburban,0,2,0.2318,76147.21
ID-02964,38,18,14,Suburban,2,4,0.165,112086.91
ID-02965,59,18,35,Suburban,5,1,0.1868,110698.9
ID-02966,43,20,17,Urban,0,5,0.1712,135661.16
ID-02967,61,14,41,Suburban,2,4,0.3091,119543.89
ID-02968,31,12,13,Urban,4,1,0.1924,85105.78
ID-02969,54,14,34,Urban,2,2,0.2059,129541.36
ID-02970,38,18,14,Urban,0,5,0.1678,128816.08
ID-02971,35,20,9,Suburban,1,5,0.2364,92789.79
ID-02972,22,16,0,Suburban,5,5,0.1317,65192.77
ID-02973,20,14,0,Urban,0,3,0.2329,76460.89
ID-02974,40,16,18,Suburban,1,1,0.1841,94637.28
ID-02975,43,14,23,Urban,4,4,0.2516,118994.57
ID-02976,54,14,34,Rural,5,2,0.1856,87098.26
ID-02977,41,16,19,Suburban,3,5,0.2319,97527.48
ID-02978,36,12,18,Urban,5,5,0.213,94511.22
ID-02979,42,14,22,Rural,4,5,0.189,77282.23
ID-02980,38,16,16,Urban,4,1,0.2564,100352.2
ID-02981,29,12,11,Suburban,4,2,0.2438,69010.34
ID-02982,58,12,40,Urban,2,1,0.1758,129710.12
ID-02983,50,14,30,Urban,4,2,0.1642,116287.2
ID-02984,21,18,0,Suburban,3,4,0.1589,82793.36
ID-02985,59,18,35,Urban,0,3,0.1941,145341.72
ID-02986,24,12,6,Rural,1,2,0.226,48750.3
ID-02987,39,16,17,Urban,5,1,0.2069,96715.43
ID-02988,50,14,30,Urban,5,1,0.155,117960.19
ID-02989,34,16,12,Suburban,4,1,0.1413,83167.87
ID-02990,41,18,17,Urban,1,3,0.1966,114506.47
ID-02991,51,18,27,Urban,4,2,0.2443,122424.83
ID-02992,45,16,23,Rural,2,2,0.2732,77484.88
ID-02993,60,20,34,Suburban,1,2,0.2186,127416.52
ID-02994,58,20,32,Urban,4,2,0.2018,146424.07
ID-02995,56,18,32,Suburban,4,5,0.1948,128126.14
ID-02996,39,16,17,Rural,3,5,0.1526,76554.66
ID-02997,34,14,14,Urban,3,1,0.1801,95122.1
ID-02998,51,14,31,Suburban,3,5,0.1767,108449.73
ID-02999,23,12,5,Urban,2,2,0.1526,75057.92
ID-03000,63,14,43,Rural,1,2,0.2427,95064.08
ID-03001,23,18,0,Suburban,2,5,0.101,72322.13
ID-03002,51,16,29,Rural,0,4,0.1052,101636.92
ID-03003,18,20,0,Rural,4,1,0.1204,60868.99
ID-03004,27,12,9,Urban,4,3,0.2166,79788.13
ID-03005,38,12,20,Urban,4,1,0.2055,95506.34
ID-03006,22,18,0,Urban,3,1,0.219,81895.01
ID-03007,19,14,0,Urban,4,1,0.0865,70252.29
ID-03008,39,12,21,Suburban,3,5,0.2146,80005.16
ID-03009,19,20,0,Suburban,0,1,0.0971,83779.56
ID-03010,27,18,3,Urban,2,2,0.1229,91839.11
ID-03011,51,16,29,Urban,2,1,0.1361,133321.22
ID-03012,33,18,9,Suburban,2,2,0.1265,88586.82
ID-03013,56,16,34,Urban,3,5,0.3381,142848.81
ID-03014,39,18,15,Urban,5,5,0.2155,110751.2
ID-03015,29,18,5,Suburban,5,1,0.0866,77150.96
ID-03016,41,12,23,Urban,1,2,0.1124,108417.99
ID-03017,64,16,42,Rural,5,2,0.218,99302.79
ID-03018,57,12,39,Urban,1,2,0.2154,124732.07
ID-03019,55,12,37,Suburban,0,2,0.1732,112527.24
ID-03020,27,20,1,Suburban,1,3,0.2615,86979.43
ID-03021,52,16,30,Urban,0,5,0.1575,129536.67
ID-03022,49,18,25,Urban,4,2,0.2455,128789.24
ID-03023,24,18,0,Urban,2,3,0.2146,93596.42
ID-03024,38,20,12,Urban,5,3,0.3082,111482.15
ID-03025,37,18,13,Urban,3,5,0.3093,106654.84
ID-03026,43,16,21,Suburban,0,4,0.2277,95026.32
ID-03027,21,14,1,Suburban,5,1,0.1728,57855.57
ID-03028,63,12,45,Suburban,3,5,0.2309,124653.09
ID-03029,39,16,17,Urban,3,4,0.2197,105443.51
ID-03030,32,14,12,Suburban,2,1,0.089,70801.22
ID-03031,57,16,35,Urban,4,1,0.1321,134322.86
ID-03032,38,16,16,Rural,4,1,0.2367,72718.19
ID-03033,32,20,6,Rural,1,3,0.2503,80929.01
ID-03034,39,18,15,Suburban,5,2,0.2634,92439.58
ID-03035,45,16,23,Suburban,4,1,0.1844,93026.16
ID-03036,31,14,11,Urban,2,2,0.1974,87218.19
ID-03037,44,12,26,Urban,5,1,0.1711,111260.84
ID-03038,58,14,38,Rural,3,3,0.3,85045.69
ID-03039,57,18,33,Urban,0,1,0.1876,144969.2
ID-03040,45,14,25,Urban,0,5,0.1559,127548.33
ID-03041,43,18,19,Rural,4,4,0.185,79848.43
ID-03042,19,16,0,Suburban,1,1,0.1494,61194.66
ID-03043,42,12,24,Urban,0,4,0.1884,112806.09
ID-03044,20,14,0,Urban,1,4,0.2151,77079.79
ID-03045,25,16,3,Urban,0,3,0.1814,91152.03
ID-03046,61,16,39,Suburban,1,4,0.1814,127693.1
ID-03047,50,18,26,Urban,1,3,0.1673,136748.84
ID-03048,59,18,35,Rural,3,1,0.1822,97800.16
ID-03049,52,16,30,Suburban,2,2,0.1048,112384.93
ID-03050,23,18,0,Urban,0,3,0.2182,98185.32
ID-03051,56,16,34,Urban,5,4,0.2369,133602.86
ID-03052,40,20,14,Suburban,4,4,0.2679,98871.7
ID-03053,42,14,22,Rural,2,1,0.211,76128.77
ID-03054,60,18,36,Urban,3,3,0.1347,148675.93
ID-03055,36,14,16,Rural,3,1,0.1936,58481.56
ID-03056,22,14,2,Urban,3,3,0.1812,78224.25
ID-03057,28,12,10,Urban,4,2,0.2151,77462.93
ID-03058,29,16,7,Rural,0,5,0.2689,76201.76
ID-03059,27,14,7,Urban,0,1,0.1152,89926.46
ID-03060,25,14,5,Suburban,1,4,0.2033,76598.09
ID-03061,41,20,15,Urban,1,1,0.1826,120688.43
ID-03062,45,18,21,Rural,5,3,0.3234,82832.61
ID-03063,58,18,34,Rural,1,1,0.2521,94768.08
ID-03064,53,18,29,Rural,4,2,0.1899,85729.6
ID-03065,54,20,28,Urban,2,3,0.272,139681.23
ID-03066,38,16,16,Urban,0,4,0.1757,122763.01
ID-03067,25,14,5,Suburban,1,4,0.209,72784.32
ID-03068,26,18,2,Urban,4,3,0.1567,84346.54
ID-03069,64,18,40,Suburban,4,2,0.2177,132607.43
ID-03070,32,16,10,Suburban,5,1,0.2457,90515.92
ID-03071,63,16,41,Urban,1,5,0.1947,146881.73
ID-03072,57,16,35,Suburban,5,4,0.0552,119001.42
ID-03073,35,20,9,Rural,3,2,0.1472,67666.64
ID-03074,59,14,39,Rural,3,2,0.2832,97297.55
ID-03075,37,20,11,Urban,3,2,0.2663,102582.81
ID-03076,23,20,0,Urban,1,1,0.1372,95674.31
ID-03077,29,16,7,Urban,4,2,0.0993,92458.72
ID-03078,19,16,0,Urban,4,2,0.1456,71556.92
ID-03079,24,14,4,Urban,0,3,0.2223,85020.32
ID-03080,33,12,15,Rural,3,3,0.172,58155.86
ID-03081,20,12,2,Urban,1,2,0.0705,77975.73
ID-03082,62,18,38,Urban,0,2,0.2404,146721.12
ID-03083,20,16,0,Urban,4,3,0.2216,84462.48
ID-03084,44,12,26,Urban,0,1,0.2731,108700.15
ID-03085,60,14,40,Urban,3,3,0.1069,146868.19
ID-03086,57,20,31,Suburban,2,3,0.2642,130983.14
ID-03087,55,14,35,Urban,3,3,0.2143,130741.91
ID-03088,50,20,24,Urban,3,3,0.167,136336.58
ID-03089,45,14,25,Urban,1,5,0.1126,124543.71
ID-03090,18,16,0,Suburban,2,4,0.0752,72009.8
ID-03091,25,12,7,Urban,5,1,0.1366,71893.46
ID-03092,54,16,32,Urban,2,1,0.1632,128553.05
ID-03093,49,16,27,Rural,2,2,0.1937,85666.62
ID-03094,60,14,40,Urban,4,5,0.284,136764.54
ID-03095,54,16,32,Suburban,0,2,0.2005,116641.21
ID-03096,21,16,0,Rural,4,1,0.0939,56912.91
ID-03097,47,16,25,Urban,5,1,0.1461,113948.96
ID-03098,23,18,0,Rural,2,2,0.1898,56633.77
ID-03099,63,14,43,Rural,1,4,0.1754,96046.89
ID-03100,36,16,14,Urban,5,2,0.1802,106309.43
ID-03101,49,20,23,Rural,3,4,0.2567,91153.54
ID-03102,26,18,2,Urban,3,4,0.2085,91529.82
ID-03103,29,20,3,Urban,4,3,0.1516,103557.67
ID-03104,28,14,8,Rural,5,1,0.1289,52156.25
ID-03105,63,18,39,Rural,4,3,0.3115,101061.15
ID-03106,33,16,11,Suburban,1,1,0.148,76425.25
ID-03107,18,12,0,Urban,3,3,0.2876,69713.24
ID-03108,62,18,38,Suburban,4,4,0.293,121940.22
ID-03109,38,16,16,Suburban,0,3,0.1835,99364.71
ID-03110,47,12,29,Urban,4,5,0.136,117354.93
ID-03111,30,12,12,Rural,4,3,0.1819,55696.42
ID-03112,51,18,27,Urban,2,3,0.2669,134814.51
ID-03113,21,12,3,Urban,0,3,0.152,81989.76
ID-03114,45,12,27,Urban,0,5,0.1291,109909.21
ID-03115,55,16,33,Urban,1,1,0.177,128999.73
ID-03116,48,12,30,Suburban,2,3,0.2175,102196.95
ID-03117,44,20,18,Urban,0,1,0.2176,121873.24
ID-03118,22,16,0,Suburban,2,2,0.1761,63304.0
ID-03119,42,16,20,Urban,2,4,0.1687,114664.62
ID-03120,20,20,0,Urban,3,2,0.1639,100427.36
ID-03121,50,16,28,Suburban,0,5,0.177,115447.73
ID-03122,21,14,1,Urban,3,5,0.1778,77054.1
ID-03123,42,18,18,Suburban,4,1,0.2051,97802.58
ID-03124,37,16,15,Suburban,4,1,0.1748,87081.65
ID-03125,51,14,31,Suburban,3,3,0.1589,99387.37
ID-03126,43,18,19,Suburban,4,2,0.2556,93727.5
ID-03127,22,18,0,Rural,3,1,0.1869,46936.53
ID-03128,52,18,28,Rural,1,1,0.2378,97212.99
ID-03129,45,20,19,Urban,2,1,0.1579,122889.56
ID-03130,46,18,22,Suburban,1,4,0.1915,107467.94
ID-03131,26,18,2,Urban,0,1,0.1378,94614.54
ID-03132,55,18,31,Urban,1,4,0.2757,139143.66
ID-03133,23,12,5,Urban,1,5,0.1189,74482.02
ID-03134,36,14,16,Rural,4,3,0.1356,61475.39
ID-03135,61,18,37,Suburban,5,2,0.2144,108315.93
ID-03136,28,16,6,Urban,5,1,0.1196,85834.3
ID-03137,19,12,1,Urban,3,4,0.2396,80325.8
ID-03138,64,14,44,Rural,0,1,0.1435,95432.8
ID-03139,61,14,41,Urban,5,1,0.1991,134769.38
ID-03140,61,16,39,Urban,4,4,0.1901,145030.94
ID-03141,26,18,2,Rural,0,1,0.191,62838.05
ID-03142,38,20,12,Suburban,2,2,0.1479,101007.23
ID-03143,41,18,17,Urban,3,5,0.2039,115827.58
ID-03144,51,18,27,Urban,4,3,0.158,135272.87
ID-03145,39,16,17,Rural,1,1,0.1385,71891.26
ID-03146,20,14,0,Rural,2,4,0.1587,51894.4
ID-03147,29,14,9,Urban,1,2,0.1738,91056.46
ID-03148,45,16,23,Urban,5,1,0.181,109845.99
ID-03149,47,12,29,Urban,0,5,0.1776,117369.62
ID-03150,43,16,21,Suburban,2,5,0.2612,102311.8
ID-03151,38,16,16,Suburban,4,4,0.2031,89499.08
ID-03152,45,16,23,Urban,1,1,0.2072,122521.19
ID-03153,43,20,17,Suburban,5,1,0.2467,98888.03
ID-03154,50,16,28,Suburban,1,1,0.132,110852.39
ID-03155,38,14,18,Suburban,0,5,0.2919,81187.04
ID-03156,52,16,30,Rural,0,1,0.118,89136.72
ID-03157,51,16,29,Urban,5,1,0.2626,118351.72
ID-03158,58,14,38,Urban,3,1,0.124,139766.87
ID-03159,64,12,46,Suburban,5,1,0.2108,114253.2
ID-03160,35,16,13,Rural,3,4,0.1541,67737.48
ID-03161,28,20,2,Urban,5,5,0.2544,96428.91
ID-03162,40,16,18,Rural,5,3,0.2286,76118.47
ID-03163,39,20,13,Urban,0,4,0.1746,125240.72
ID-03164,34,18,10,Urban,3,1,0.2106,101072.35
ID-03165,22,12,4,Urban,5,3,0.1861,73647.17
ID-03166,61,18,37,Rural,1,2,0.2461,101903.11
ID-03167,28,16,6,Suburban,0,3,0.1682,78629.8
ID-03168,47,14,27,Urban,2,4,0.1623,124874.39
ID-03169,32,16,10,Rural,0,5,0.0734,78016.74
ID-03170,44,18,20,Suburban,5,4,0.1768,102809.47
ID-03171,52,12,34,Rural,4,5,0.2087,84457.17
ID-03172,50,20,24,Urban,4,5,0.15,143073.06
ID-03173,37,18,13,Urban,0,5,0.1832,111397.67
ID-03174,33,20,7,Suburban,2,2,0.2387,88684.61
ID-03175,51,14,31,Suburban,0,3,0.2055,104869.57
ID-03176,19,20,0,Suburban,2,4,0.1321,83701.98
ID-03177,52,14,32,Suburban,5,4,0.2482,106484.7
ID-03178,57,12,39,Suburban,1,5,0.218,121992.83
ID-03179,45,18,21,Urban,1,2,0.2045,131815.94
ID-03180,64,18,40,Suburban,2,2,0.1926,121825.93
ID-03181,56,16,34,Urban,3,1,0.143,136906.34
ID-03182,23,16,1,Urban,1,2,0.1852,86580.95
ID-03183,26,12,8,Urban,4,5,0.1944,81300.26
ID-03184,37,16,15,Suburban,0,5,0.1512,90620.07
ID-03185,18,16,0,Rural,5,3,0.1758,59533.58
ID-03186,25,16,3,Urban,3,5,0.2217,90450.8
ID-03187,40,16,18,Urban,4,3,0.1392,104942.91
ID-03188,20,20,0,Urban,0,2,0.1911,102560.11
ID-03189,21,16,0,Rural,4,1,0.166,53698.71
ID-03190,42,18,18,Suburban,3,4,0.24,96981.69
ID-03191,64,20,38,Rural,2,5,0.2679,105462.67
ID-03192,55,16,33,Rural,0,2,0.2081,87859.35
ID-03193,32,12,14,Urban,4,5,0.1819,96878.76
ID-03194,38,12,20,Urban,5,3,0.1768,100147.34
ID-03195,52,18,28,Urban,5,2,0.1491,137021.14
ID-03196,63,14,43,Urban,4,4,0.2327,146942.49
ID-03197,31,16,9,Urban,3,3,0.1841,92592.24
ID-03198,53,14,33,Urban,3,2,0.1652,123228.32
ID-03199,29,14,9,Suburban,5,4,0.0807,78565.74
ID-03200,34,16,12,Suburban,5,3,0.2115,84831.14
ID-03201,56,20,30,Urban,3,4,0.1882,146751.53
ID-03202,26,16,4,Suburban,2,2,0.2102,72706.77
ID-03203,52,20,26,Urban,1,3,0.1338,146830.44
ID-03204,30,20,4,Suburban,4,1,0.1836,85415.92
ID-03205,32,14,12,Suburban,2,5,0.1804,80538.66
ID-03206,35,14,15,Urban,4,1,0.1745,94328.75
ID-03207,50,18,26,Suburban,5,4,0.279,106847.45
ID-03208,23,18,0,Suburban,2,2,0.181,73515.77
ID-03209,44,16,22,Urban,5,5,0.1075,117360.73
ID-03210,40,20,14,Urban,5,2,0.17,116149.32
ID-03211,44,12,26,Rural,5,4,0.1133,69772.19
ID-03212,51,14,31,Urban,0,2,0.2718,120021.36
ID-03213,63,16,41,Suburban,1,3,0.2253,131169.0
ID-03214,55,16,33,Rural,5,3,0.197,92465.6
ID-03215,31,12,13,Urban,4,4,0.1105,86512.64
ID-03216,53,14,33,Urban,3,2,0.2116,125590.95
ID-03217,25,12,7,Rural,1,4,0.2274,46816.27
ID-03218,52,16,30,Urban,4,5,0.2316,138529.39
ID-03219,36,18,12,Suburban,0,2,0.2136,98069.75
ID-03220,47,18,23,Suburban,5,3,0.2687,103960.06
ID-03221,31,16,9,Suburban,4,1,0.2574,78433.91
ID-03222,37,16,15,Rural,4,3,0.1924,65136.49
ID-03223,42,16,20,Rural,4,2,0.2214,75147.99
ID-03224,57,12,39,Suburban,1,2,0.2927,106159.99
ID-03225,41,14,21,Rural,5,2,0.1408,66657.32
ID-03226,31,12,13,Rural,4,2,0.2049,55197.01
ID-03227,43,18,19,Rural,3,5,0.1419,80118.56
ID-03228,55,20,29,Suburban,5,1,0.1863,116158.67
ID-03229,40,16,18,Urban,2,3,0.2569,117363.23
ID-03230,39,18,15,Suburban,3,5,0.1468,86640.16
ID-03231,36,12,18,Urban,0,4,0.2405,97413.65
ID-03232,63,16,41,Urban,1,2,0.1826,153398.8
ID-03233,20,18,0,Urban,2,3,0.225,90493.59
ID-03234,59,16,37,Rural,1,4,0.2822,93701.23
ID-03235,36,14,16,Urban,1,1,0.1407,109646.01
ID-03236,26,18,2,Suburban,4,3,0.2079,89281.73
ID-03237,45,18,21,Suburban,3,5,0.2505,105522.47
ID-03238,37,18,13,Urban,2,4,0.1654,107842.8
ID-03239,62,18,38,Suburban,4,3,0.2404,124944.41
ID-03240,24,20,0,Suburban,2,5,0.1142,77763.4
ID-03241,31,12,13,Rural,5,2,0.2906,58003.23
ID-03242,26,12,8,Urban,5,3,0.1388,79917.8
ID-03243,36,14,16,Urban,3,2,0.1716,103566.61
ID-03244,64,12,46,Suburban,4,4,0.2073,121397.11
ID-03245,31,16,9,Urban,2,4,0.1851,99543.8
ID-03246,55,16,33,Urban,5,4,0.2274,130802.26
ID-03247,53,16,31,Urban,4,2,0.2246,124447.58
ID-03248,57,14,37,Suburban,1,2,0.1515,103096.13
ID-03249,34,20,8,Urban,5,5,0.1216,111044.42
ID-03250,47,12,29,Suburban,0,3,0.2819,101916.34
ID-03251,26,14,6,Rural,2,5,0.2339,63838.38
ID-03252,50,18,26,Suburban,5,2,0.1349,111588.03
ID-03253,42,18,18,Urban,3,3,0.2118,116964.0
ID-03254,31,16,9,Urban,2,4,0.2216,107695.76
ID-03255,28,12,10,Urban,0,5,0.2812,83336.03
ID-03256,52,16,30,Urban,2,5,0.1783,130142.51
ID-03257,58,12,40,Urban,2,5,0.2591,140393.52
ID-03258,31,12,13,Urban,5,2,0.2173,91031.2
ID-03259,47,16,25,Suburban,2,3,0.1626,112163.25
ID-03260,58,14,38,Rural,3,4,0.1908,97305.53
ID-03261,21,14,1,Rural,0,2,0.1334,54553.0
ID-03262,21,16,0,Urban,5,4,0.189,84464.13
ID-03263,45,20,19,Suburban,0,1,0.1177,105409.4
ID-03264,25,20,0,Urban,3,1,0.1641,89353.6
ID-03265,19,16,0,Suburban,2,4,0.1511,70773.53
ID-03266,58,14,38,Urban,2,1,0.1058,126641.69
ID-03267,63,14,43,Rural,5,3,0.2284,94138.33
ID-03268,39,14,19,Rural,0,3,0.2229,69346.41
ID-03269,58,16,36,Urban,2,2,0.1355,143796.36
ID-03270,33,16,11,Suburban,1,4,0.1831,86700.65
ID-03271,46,16,24,Suburban,2,2,0.1272,108032.36
ID-03272,47,16,25,Urban,2,3,0.2031,127951.43
ID-03273,29,14,9,Suburban,4,3,0.2375,69604.42
ID-03274,52,16,30,Suburban,0,3,0.1766,115162.56
ID-03275,28,14,8,Rural,0,5,0.1633,52963.68
ID-03276,63,16,41,Suburban,1,1,0.3187,127661.98
ID-03277,38,16,16,Suburban,1,2,0.1508,86469.17
ID-03278,38,16,16,Rural,1,2,0.1412,69121.11
ID-03279,22,16,0,Rural,0,3,0.1717,62554.88
ID-03280,37,16,15,Urban,4,5,0.3078,109947.69
ID-03281,54,14,34,Urban,4,2,0.2167,126954.49
ID-03282,20,12,2,Suburban,3,2,0.1371,61281.95
ID-03283,61,16,39,Rural,0,5,0.2408,108806.32
ID-03284,50,14,30,Urban,3,3,0.2373,118601.43
ID-03285,26,16,4,Urban,2,5,0.2063,87871.26
ID-03286,26,18,2,Urban,1,1,0.2151,95015.97
ID-03287,21,20,0,Suburban,3,2,0.2178,80532.97
ID-03288,52,20,26,Rural,5,1,0.1956,80774.37
ID-03289,34,12,16,Urban,3,2,0.1776,99873.42
ID-03290,51,20,25,Urban,0,1,0.2431,135831.14
ID-03291,41,16,19,Rural,1,2,0.0688,70495.36
ID-03292,49,16,27,Urban,1,3,0.0694,128218.02
ID-03293,18,12,0,Rural,4,4,0.1381,48510.41
ID-03294,25,18,1,Urban,3,5,0.1578,98793.32
ID-03295,62,12,44,Suburban,4,2,0.2467,114485.84
ID-03296,40,18,16,Suburban,3,5,0.166,111279.14
ID-03297,64,12,46,Suburban,0,2,0.2726,134315.31
ID-03298,57,16,35,Rural,0,4,0.2142,98239.85
ID-03299,29,16,7,Rural,2,3,0.14,62089.6
ID-03300,29,14,9,Rural,3,3,0.2422,57195.86
ID-03301,63,12,45,Urban,3,5,0.2269,143236.04
ID-03302,64,16,42,Urban,1,4,0.1491,162275.49
ID-03303,32,12,14,Urban,1,5,0.2202,95519.01
ID-03304,58,16,36,Rural,4,3,0.2462,97951.52
ID-03305,36,16,14,Suburban,2,1,0.1221,88869.42
ID-03306,43,18,19,Rural,0,5,0.1984,87191.93
ID-03307,46,16,24,Rural,3,2,0.2262,85285.33
ID-03308,39,12,21,Suburban,4,3,0.1057,87337.82
ID-03309,57,14,37,Rural,2,2,0.2598,92303.38
ID-03310,38,14,18,Rural,1,4,0.1536,80424.42
ID-03311,55,20,29,Rural,2,3,0.1617,90683.52
ID-03312,37,18,13,Suburban,4,3,0.1728,92615.23
ID-03313,46,14,26,Rural,0,5,0.231,79121.88
ID-03314,21,12,3,Urban,1,5,0.2209,79958.17
ID-03315,24,18,0,Suburban,5,2,0.2573,62828.95
ID-03316,45,18,21,Urban,1,5,0.1503,129805.91
ID-03317,45,18,21,Urban,0,1,0.2133,126251.88
ID-03318,21,18,0,Rural,1,3,0.2051,66434.79
ID-03319,39,16,17,Suburban,4,4,0.2132,89486.09
ID-03320,29,12,11,Urban,1,3,0.13,99871.16
ID-03321,62,16,40,Urban,3,2,0.2248,143708.13
ID-03322,20,16,0,Rural,2,5,0.1861,50788.93
ID-03323,39,16,17,Rural,4,3,0.1576,75348.96
ID-03324,61,16,39,Urban,0,5,0.2352,151522.24
ID-03325,19,14,0,Rural,4,2,0.1794,56406.77
ID-03326,41,14,21,Urban,3,5,0.1234,103410.83
ID-03327,51,16,29,Suburban,1,4,0.2327,110978.43
ID-03328,44,12,26,Suburban,1,2,0.1997,95490.58
ID-03329,58,16,36,Rural,5,3,0.1134,89626.95
ID-03330,18,18,0,Rural,4,3,0.153,51438.05
ID-03331,25,18,1,Urban,1,4,0.1812,100840.78
ID-03332,40,16,18,Suburban,1,1,0.154,87602.89
ID-03333,55,16,33,Urban,3,5,0.2206,144419.19
ID-03334,23,12,5,Suburban,0,3,0.1586,59379.34
ID-03335,39,16,17,Suburban,5,4,0.2403,89205.52
ID-03336,42,16,20,Urban,5,5,0.2056,119226.07
ID-03337,35,16,13,Urban,5,2,0.2802,101129.58
ID-03338,34,18,10,Urban,2,4,0.1119,103102.68
ID-03339,29,16,7,Suburban,4,2,0.195,77852.93
ID-03340,23,12,5,Suburban,0,2,0.1738,51938.44
ID-03341,43,14,23,Urban,2,2,0.214,105358.44
ID-03342,44,16,22,Rural,0,5,0.2594,91127.82
ID-03343,25,16,3,Urban,4,1,0.1034,81231.51
ID-03344,36,18,12,Suburban,5,2,0.2164,91389.65
ID-03345,59,16,37,Suburban,3,3,0.2258,122644.71
ID-03346,18,16,0,Urban,3,5,0.1225,82039.54
ID-03347,46,16,24,Urban,3,5,0.2554,124666.55
ID-03348,62,16,40,Rural,0,2,0.215,93816.54
ID-03349,52,16,30,Suburban,4,3,0.1649,109249.43
ID-03350,57,16,35,Urban,1,4,0.2284,140587.57
ID-03351,31,16,9,Urban,1,5,0.2288,111258.77
ID-03352,52,14,32,Rural,3,2,0.2179,80173.99
ID-03353,62,18,38,Urban,0,2,0.1906,156406.7
ID-03354,37,14,17,Rural,1,1,0.1473,65832.29
ID-03355,30,12,12,Urban,0,1,0.1393,89747.12
ID-03356,55,12,37,Suburban,4,4,0.2447,100017.18
ID-03357,63,12,45,Urban,3,4,0.2602,141899.9
ID-03358,25,16,3,Rural,2,4,0.1624,61842.01
ID-03359,60,12,42,Suburban,3,4,0.3267,115776.42
ID-03360,37,12,19,Suburban,2,2,0.1751,83278.77
ID-03361,50,16,28,Urban,1,2,0.1963,124254.0
ID-03362,43,16,21,Urban,5,2,0.1732,111067.28
ID-03363,56,12,38,Urban,2,3,0.2001,130225.71
ID-03364,38,16,16,Urban,5,4,0.1861,111179.42
ID-03365,59,18,35,Rural,0,3,0.238,107144.38
ID-03366,60,20,34,Suburban,5,5,0.2003,119308.3
ID-03367,58,16,36,Urban,2,5,0.2383,143602.29
ID-03368,26,14,6,Rural,1,2,0.0962,52545.36
ID-03369,41,18,17,Rural,1,5,0.1598,77413.34
ID-03370,54,16,32,Suburban,3,2,0.188,112333.21
ID-03371,58,14,38,Suburban,1,4,0.1953,117162.83
ID-03372,34,18,10,Rural,0,3,0.0923,66550.28
ID-03373,41,16,19,Suburban,2,2,0.2357,87745.25
ID-03374,38,20,12,Suburban,4,1,0.1146,96109.31
ID-03375,56,18,32,Suburban,1,1,0.1744,112342.23
ID-03376,58,16,36,Urban,5,4,0.2066,137406.11
ID-03377,56,18,32,Rural,2,3,0.3081,100137.07
ID-03378,30,16,8,Suburban,3,2,0.1774,78261.86
ID-03379,28,16,6,Suburban,4,4,0.2004,83938.14
ID-03380,63,18,39,Urban,3,3,0.1388,153545.09
ID-03381,36,16,14,Urban,0,1,0.1442,115564.57
ID-03382,28,18,4,Urban,3,2,0.1432,92921.41
ID-03383,30,18,6,Urban,2,3,0.1533,105589.01
ID-03384,63,20,37,Suburban,4,5,0.2638,129400.44
ID-03385,62,18,38,Urban,3,2,0.1846,147709.17
ID-03386,18,16,0,Urban,3,5,0.1984,92218.75
ID-03387,57,12,39,Suburban,5,4,0.1685,105323.51
ID-03388,61,18,37,Suburban,5,3,0.197,122913.21
ID-03389,36,14,16,Urban,0,3,0.0661,99652.74
ID-03390,29,14,9,Urban,2,3,0.1755,94901.9
ID-03391,25,14,5,Rural,3,3,0.1743,48353.6
ID-03392,25,18,1,Urban,2,2,0.1653,96297.49
ID-03393,62,18,38,Rural,1,5,0.3103,106023.6
ID-03394,29,16,7,Urban,0,5,0.1757,99332.29
ID-03395,50,16,28,Suburban,5,4,0.0639,105912.3
ID-03396,62,16,40,Urban,0,4,0.151,158653.93
ID-03397,43,16,21,Rural,0,3,0.1908,78263.83
ID-03398,56,16,34,Urban,2,1,0.202,132525.05
ID-03399,45,14,25,Urban,5,1,0.1544,113002.18
ID-03400,22,14,2,Urban,5,3,0.1209,74212.89
ID-03401,25,16,3,Rural,3,5,0.2443,69004.05
ID-03402,42,16,20,Rural,3,4,0.2415,81839.15
ID-03403,44,16,22,Urban,2,2,0.2503,119094.23
ID-03404,63,20,37,Urban,2,1,0.1816,163650.71
ID-03405,40,12,22,Suburban,1,4,0.225,80945.7
ID-03406,47,14,27,Rural,4,1,0.0686,79285.32
ID-03407,62,16,40,Suburban,4,5,0.1912,125510.34
ID-03408,64,12,46,Rural,0,5,0.1864,98023.1
ID-03409,40,14,20,Urban,3,3,0.1774,105395.21
ID-03410,64,14,44,Urban,5,3,0.2198,150766.25
ID-03411,37,16,15,Urban,0,1,0.1784,96772.12
ID-03412,35,14,15,Suburban,5,1,0.1286,80362.51
ID-03413,35,18,11,Urban,3,4,0.1478,101327.81
ID-03414,19,16,0,Urban,3,3,0.1949,79656.99
ID-03415,21,12,3,Urban,1,5,0.1887,75108.46
ID-03416,47,18,23,Suburban,2,4,0.2766,116082.36
ID-03417,50,12,32,Urban,2,4,0.2156,119012.21
ID-03418,53,18,29,Urban,2,2,0.2774,137071.77
ID-03419,35,20,9,Rural,4,5,0.1126,69375.99
ID-03420,54,14,34,Urban,2,4,0.2335,135249.11
ID-03421,36,20,10,Urban,4,2,0.2239,103984.86
ID-03422,64,18,40,Suburban,5,3,0.2382,119309.23
